GEOID,district
55121100800,4
55079018500,3
55033970700,1
55133200400,2
55023960100,4
55025000501,5
55025000503,5
55025000504,5
55141010100,8
55039041600,4
55135101000,8
55139000400,7
55079100500,3
55079002200,2
55093960800,1
55079018600,3
55033970800,1
55133200500,2
55009001600,8
55111000200,4
55025000600,5
55085970800,1
55039041700,7
55135101100,8
55139000500,7
55079100600,3
55079002300,2
55089660100,2
55079018700,3
55133200600,2
55111000100,4
55079035100,2
55009001701,8
55009001702,8
55067960700,8
55023960300,4
55025000700,5
55137960200,4
55141011500,4
55135101200,8
55071005400,7
55079100700,3
55079002400,2
55123960100,4
55079010600,2
55089660201,2
55089660202,2
55135100100,8
55079018800,3
55075960200,8
55133200700,2
55079035200,2
55079186000,2
55009001801,8
55009001802,8
55023960400,4
55037190200,8
55111000402,4
55031030100,1
55083100900,8
55025000800,5
55039041900,7
55139000700,7
55079100800,3
55079002500,2
55123960200,4
55079010700,3
55089660301,2
55089660303,2
55089660304,2
55041950100,8
55043960900,4
55135100200,8
55087940000,8
55133200801,3
55035000200,1
55133200803,3
55133200804,3
55023960500,4
55031030200,1
55025000901,5
55025000902,5
55039042000,7
55139000800,7
55079100900,3
55079002600,2
55123960300,4
55079010800,3
55041950200,8
55005000400,1
55133200901,2
55133200902,3
55009002001,8
55009002002,8
55009002003,8
55079150100,6
55111000600,4
55009010201,8
55009010202,8
55031030300,1
55095960100,1
55025001000,5
55039042100,7
55065970100,5
55139000900,7
55079101000,3
55079002700,2
55123960400,4
55079019100,3
55133201000,3
55111000700,4
55079060101,2
55079060102,2
55095960200,1
55025001101,5
55025001102,5
55141010200,1
55137960600,4
55139001000,7
55079101100,3
55079002800,2
55123960500,4
55079011000,3
55041950400,8
55133201101,3
55133201102,3
55079150301,3
55079150303,3
55111000800,4
55079060200,2
55095960300,1
55025001200,5
55085970900,1
55137960700,4
55139001100,7
55079101200,3
55079002900,2
55021970200,4
55079011100,3
55025011504,5
55067960100,8
55125950600,1
55133201202,3
55133201203,3
55103970100,4
55111000900,4
55025001300,5
55137960800,4
55141011600,4
55139001200,7
55079101300,3
55079003000,2
55021970300,4
55079011200,3
55079019400,3
55011960300,4
55133201300,3
55053960100,4
55111001001,4
55111001002,4
55083101000,8
55095960500,1
55025001401,5
55025001402,5
55025001403,5
55139001300,7
55079101400,3
55025012900,5
55079003100,2
55021970400,4
55079011300,3
55131440103,7
55131440104,7
55131440105,7
55131440106,7
55067960300,8
55043961000,4
55133201402,3
55133201403,3
55133201404,3
55053960200,4
55111001100,4
55095960600,1
55025001501,5
55025001502,5
55127000101,6
55127000102,6
55139001400,7
55079101500,3
55079003200,2
55021970500,4
55131440200,7
55079019600,3
55133201503,3
55133201504,3
55133201505,3
55133201506,3
55053960300,4
55095960700,1
55025001603,5
55089620100,2
55025001605,5
55025001606,5
55127000200,6
55063000600,4
55139001500,7
55003940000,1
55079003300,2
55021970600,4
55067960500,8
55133201600,3
55053960400,4
55095960800,1
55025001704,5
55025001705,5
55127000301,6
55127000302,6
55131420200,2
55139001600,7
55055100800,5
55079101700,3
55079003400,2
55021970700,4
55067960600,8
55011960200,4
55011960100,4
55133201701,3
55133201703,3
55133201704,3
55053960500,4
55095960900,1
55025001802,5
55025001804,5
55127000400,6
55139001700,7
55079101800,3
55079003500,2
55021970800,4
55089630100,2
55079019900,3
55133201800,3
55111000300,4
55079000600,2
55095961000,1
55025001900,5
55025010100,5
55127000501,6
55127000502,6
55139001801,7
55139001803,7
55139001804,7
55079003600,2
55079110100,3
55079020000,3
55133201900,3
55059001600,6
55083101100,8
55095961100,1
55025002000,5
55127000600,6
55117000300,2
55071000100,7
55139001900,7
55079080200,2
55079003700,2
55021971000,4
55079020100,3
55011960400,4
55133202001,6
55133202002,6
55025002100,5
55025010300,5
55127000701,6
55127000702,6
55087012800,7
55071000200,7
55139002000,7
55079186100,3
55079003800,2
55021971100,5
55097960100,8
55079020200,3
55011960500,4
55133202101,3
55133202102,3
55133202103,3
55025002200,5
55127000800,6
55065970300,4
55071000300,7
55139002100,4
55079003900,2
55021971200,5
55097960200,8
55109120300,1
55079020300,3
55133202201,3
55133202202,3
55025002301,5
55025002302,5
55027960800,5
55137960100,4
55065970500,5
55127000901,6
55127000902,6
55131420300,2
55071000400,7
55009020900,8
55139002202,7
55079004000,2
55079012200,3
55097960300,8
55079020400,3
55133202301,3
55133202302,3
55129950100,1
55025002401,5
55025002402,5
55069960100,1
55131400102,2
55131400103,2
55131400104,2
55085971100,1
55071000500,7
55139002300,7
55079004100,2
55079012300,3
55097960400,8
55079020500,3
55133202400,3
55111000401,4
55103970300,4
55129950200,1
55001950201,4
55023960200,4
55039041800,7
55025002500,5
55069960200,1
55025010701,5
55025010702,5
55071000600,7
55139002400,7
55079004200,2
55079012400,2
55097960500,8
55079020600,3
55133202500,3
55059001700,6
55129950300,1
55083101200,8
55025002601,5
55025002602,5
55025002603,5
55069960300,1
55025010800,5
55071000700,7
55139002500,7
55079080300,2
55083100300,8
55079012500,3
55097960600,4
55079020700,3
55043961200,4
55133202600,3
55001950400,4
55055100100,5
55025002700,5
55069960400,1
55025010901,5
55025010903,5
