GEOID,district
55121100800,8
55079018500,4
55033970700,8
55133200400,6
55111000100,5
55025000501,3
55025000503,3
55025000504,3
55141010100,1
55039041600,5
55135101000,7
55139000400,5
55079100500,4
55079002200,6
55093960800,8
55079018600,4
55033970800,8
55133200500,6
55009001600,7
55125950600,1
55025000600,3
55085970800,1
55039041700,5
55135101100,7
55139000500,5
55079100600,4
55079002300,6
55089660100,6
55079018700,4
55133200600,6
55125950500,1
55079035100,6
55009001701,7
55009001702,7
55079019900,4
55111000300,3
55025000700,3
55137960200,5
55141011500,1
55135101200,7
55071005400,7
55079100700,4
55079002400,6
55123960100,5
55079010600,4
55089660201,6
55089660202,6
55135100100,7
55079018800,4
55035000200,8
55133200700,6
55079035200,6
55079186000,4
55009001801,7
55009001802,7
55023960400,3
55111000401,3
55111000402,3
55031030100,1
55083100900,1
55025000800,3
55137960300,1
55139000700,5
55079100800,6
55079002500,6
55123960200,5
55079010700,4
55089660301,6
55089660303,6
55089660304,6
55041950100,1
55043960900,3
55135100200,7
55087940000,7
55133200801,6
55133200803,6
55133200804,6
55023960500,3
55031030200,8
55025000901,3
55025000902,3
55137960400,1
55139000800,5
55079100900,6
55079002600,6
55123960300,3
55079010800,4
55041950200,1
55005000400,8
55133200901,6
55133200902,6
55009002001,7
55009002002,7
55009002003,7
55079150100,4
55111000600,3
55009010201,7
55009010202,7
55031030300,8
55095960100,8
55025001000,3
55039042100,5
55065970100,3
55139000900,7
55079101000,4
55079002700,6
55123960400,3
55079019100,4
55133201000,4
55111000700,3
55079060101,6
55079060102,6
55095960200,8
55025001101,3
55025001102,3
55141010200,1
55137960600,5
55049950600,3
55139001000,7
55079101100,4
55079002800,6
55123960500,3
55079011000,4
55041950400,1
55133201101,6
55133201102,6
55079150301,4
55079150303,4
55111000800,3
55079060200,6
55095960300,8
55025001200,3
55079110100,4
55137960700,5
55139001100,7
55079101200,4
55079002900,6
55021970200,5
55079011100,4
55025011504,5
55067960100,1
55111000200,5
55133201202,6
55133201203,6
55103970100,3
55111000900,5
55025001300,3
55137960800,5
55141011600,1
55139001200,5
55079101300,4
55079003000,6
55021970300,5
55079011200,4
55079019400,4
55011960300,8
55133201300,6
55053960100,1
55111001001,5
55111001002,5
55079005000,6
55095960500,8
55025001401,3
55025001402,3
55025001403,3
55139001300,5
55079101400,4
55025012900,3
55079003100,6
55021970400,5
55079011300,4
55131440103,6
55131440104,6
55131440105,6
55131440106,6
55067960300,1
55043961000,3
55133201402,6
55133201403,6
55133201404,6
55053960200,1
55111001100,3
55095960600,8
55025001501,3
55025001502,3
55127000101,2
55127000102,2
55139001400,5
55079101500,4
55079003200,6
55021970500,5
55079011400,4
55079019600,4
55133201503,4
55133201504,4
55133201505,4
55133201506,4
55053960300,8
55095960700,8
55025001603,3
55025001604,3
55025001605,3
55025001606,3
55127000200,2
55025010200,3
55139001500,5
55003940000,1
55079003300,6
55021970600,5
55067960500,1
55133201600,4
55053960400,8
55095960800,8
55025001704,3
55025001705,3
55127000301,2
55127000302,2
55131420200,5
55139001600,5
55055100800,2
55079101700,4
55079003400,6
55021970700,5
55067960600,1
55011960100,8
55133201701,4
55133201703,4
55133201704,4
55053960500,1
55095960900,8
55025001802,3
55025001804,3
55127000400,2
55139001700,7
55079101800,4
55079003500,6
55021970800,3
55089630100,6
55067960700,1
55011960200,8
55125950700,1
55095961000,8
55025001900,3
55025010100,3
55127000501,2
55127000502,2
55139001801,5
55139001803,7
55139001804,7
55079003600,6
55021970900,3
55079020000,4
55133201900,4
55029100800,1
55083101100,1
55095961100,8
55025002000,3
55127000600,2
55071000100,7
55139001900,5
55079080200,4
55079003700,6
55021971000,5
55079020100,4
55011960400,8
55133202001,2
55133202002,2
55025002100,3
55025010300,3
55127000701,2
55127000702,2
55087012800,7
55071000200,7
55079007700,4
55139002000,7
55079186100,4
55079003800,6
55021971100,5
55097960100,7
55079020200,4
55011960500,8
55133202101,2
55133202102,2
55133202103,2
55025002200,3
55127000800,2
55065970300,3
55071000300,7
55139002100,5
55079003900,6
55021971200,5
55097960200,1
55109120300,8
55079020300,4
55133202201,2
55133202202,2
55025002301,3
55025002302,3
55027960800,5
55137960100,5
55065970500,3
55127000901,2
55127000902,2
55131420300,5
55071000400,7
55055100900,2
55139002202,7
55079004000,6
55079012200,4
55097960300,7
55079020400,4
55133202301,2
55133202302,2
55129950100,8
55107960300,8
55025002401,3
55025002402,3
55069960100,1
55131400102,5
55131400103,5
55131400104,6
55085971100,1
55071000500,7
55139002300,7
55079004100,6
55079012300,4
55097960400,7
55079020500,4
55133202400,2
55103970300,3
55129950200,8
55001950201,1
55001950202,1
55039041800,5
55025002500,3
55069960200,1
55025010701,3
55025010702,3
55071000600,7
55139002400,7
55079004200,6
55079012400,4
55097960500,7
55079020600,4
55133202500,6
55029100900,1
55129950300,8
55083101200,1
55025002601,3
55025002602,3
55025002603,3
55069960300,8
55025010800,3
55071000700,7
55139002500,7
55039041900,5
55083100300,1
55079012500,4
55097960600,7
55079020700,4
55043961200,3
55133202600,2
55001950400,1
55055100100,5
55025002700,3
55069960400,8
55025010901,3
55025010903,3
55025010904,3
55071000800,7
55139002601,7
55139002602,7
55079004400,6
55079012600,4
55097960701,7
55097960702,7
55079020800,4
55133202700,2
55027960100,5
55001950501,1
55001950502,1
55055100200,5
55009020203,1
55009020204,1
55025002800,3
55069960500,1
55025011000,3
55065970400,3
55139002700,7
55083100500,1
55079012700,4
55097960800,7
55079014800,4
55079020900,4
55133202800,6
55079018900,4
55129950600,8
55079160202,4
55079160203,4
55079160204,4
55025002900,3
55069960600,1
55027960900,5
55025011101,3
