GEOIDLONG,GEOID,DISPLAYNAME,population
1400000US55001950100,55001950100,"Census Tract 9501, Adams County, Wisconsin",2973
1400000US55001950201,55001950201,"Census Tract 9502.01, Adams County, Wisconsin",1379
1400000US55001950202,55001950202,"Census Tract 9502.02, Adams County, Wisconsin",2674
1400000US55001950400,55001950400,"Census Tract 9504, Adams County, Wisconsin",4767
1400000US55001950501,55001950501,"Census Tract 9505.01, Adams County, Wisconsin",1469
1400000US55001950502,55001950502,"Census Tract 9505.02, Adams County, Wisconsin",4112
1400000US55001950700,55001950700,"Census Tract 9507, Adams County, Wisconsin",3501
1400000US55003940000,55003940000,"Census Tract 9400, Ashland County, Wisconsin",1867
1400000US55003950300,55003950300,"Census Tract 9503, Ashland County, Wisconsin",2696
1400000US55003950400,55003950400,"Census Tract 9504, Ashland County, Wisconsin",2410
1400000US55003950500,55003950500,"Census Tract 9505, Ashland County, Wisconsin",2201
1400000US55003950600,55003950600,"Census Tract 9506, Ashland County, Wisconsin",1391
1400000US55003950700,55003950700,"Census Tract 9507, Ashland County, Wisconsin",2206
1400000US55003950800,55003950800,"Census Tract 9508, Ashland County, Wisconsin",3386
1400000US55003990000,55003990000,"Census Tract 9900, Ashland County, Wisconsin",0
1400000US55005000100,55005000100,"Census Tract 1, Barron County, Wisconsin",3829
1400000US55005000200,55005000200,"Census Tract 2, Barron County, Wisconsin",3933
1400000US55005000300,55005000300,"Census Tract 3, Barron County, Wisconsin",4215
1400000US55005000400,55005000400,"Census Tract 4, Barron County, Wisconsin",5465
1400000US55005000500,55005000500,"Census Tract 5, Barron County, Wisconsin",4242
1400000US55005000600,55005000600,"Census Tract 6, Barron County, Wisconsin",6182
1400000US55005000800,55005000800,"Census Tract 8, Barron County, Wisconsin",5435
1400000US55005000900,55005000900,"Census Tract 9, Barron County, Wisconsin",5123
1400000US55005001001,55005001001,"Census Tract 10.01, Barron County, Wisconsin",1874
1400000US55005001002,55005001002,"Census Tract 10.02, Barron County, Wisconsin",5572
1400000US55007960100,55007960100,"Census Tract 9601, Bayfield County, Wisconsin",2713
1400000US55007960200,55007960200,"Census Tract 9602, Bayfield County, Wisconsin",1679
1400000US55007960300,55007960300,"Census Tract 9603, Bayfield County, Wisconsin",3661
1400000US55007960400,55007960400,"Census Tract 9604, Bayfield County, Wisconsin",4926
1400000US55007960600,55007960600,"Census Tract 9606, Bayfield County, Wisconsin",2035
1400000US55007990000,55007990000,"Census Tract 9900, Bayfield County, Wisconsin",0
1400000US55009000100,55009000100,"Census Tract 1, Brown County, Wisconsin",2690
1400000US55009000200,55009000200,"Census Tract 2, Brown County, Wisconsin",5963
1400000US55009000302,55009000302,"Census Tract 3.02, Brown County, Wisconsin",4553
1400000US55009000303,55009000303,"Census Tract 3.03, Brown County, Wisconsin",2811
1400000US55009000401,55009000401,"Census Tract 4.01, Brown County, Wisconsin",4632
1400000US55009000402,55009000402,"Census Tract 4.02, Brown County, Wisconsin",2343
1400000US55009000500,55009000500,"Census Tract 5, Brown County, Wisconsin",2953
1400000US55009000600,55009000600,"Census Tract 6, Brown County, Wisconsin",4097
1400000US55009000700,55009000700,"Census Tract 7, Brown County, Wisconsin",4945
1400000US55009000800,55009000800,"Census Tract 8, Brown County, Wisconsin",1835
1400000US55009000900,55009000900,"Census Tract 9, Brown County, Wisconsin",4029
1400000US55009001000,55009001000,"Census Tract 10, Brown County, Wisconsin",1538
1400000US55009001100,55009001100,"Census Tract 11, Brown County, Wisconsin",2081
1400000US55009001200,55009001200,"Census Tract 12, Brown County, Wisconsin",2323
1400000US55009001300,55009001300,"Census Tract 13, Brown County, Wisconsin",3022
1400000US55009001400,55009001400,"Census Tract 14, Brown County, Wisconsin",3804
1400000US55009001600,55009001600,"Census Tract 16, Brown County, Wisconsin",6505
1400000US55009001701,55009001701,"Census Tract 17.01, Brown County, Wisconsin",3528
1400000US55009001702,55009001702,"Census Tract 17.02, Brown County, Wisconsin",3529
1400000US55009001801,55009001801,"Census Tract 18.01, Brown County, Wisconsin",4971
1400000US55009001802,55009001802,"Census Tract 18.02, Brown County, Wisconsin",5449
1400000US55009002001,55009002001,"Census Tract 20.01, Brown County, Wisconsin",8222
1400000US55009002002,55009002002,"Census Tract 20.02, Brown County, Wisconsin",5157
1400000US55009002003,55009002003,"Census Tract 20.03, Brown County, Wisconsin",3278
1400000US55009010100,55009010100,"Census Tract 101, Brown County, Wisconsin",6254
1400000US55009010201,55009010201,"Census Tract 102.01, Brown County, Wisconsin",4581
1400000US55009010202,55009010202,"Census Tract 102.02, Brown County, Wisconsin",5002
1400000US55009010300,55009010300,"Census Tract 103, Brown County, Wisconsin",6892
1400000US55009020100,55009020100,"Census Tract 201, Brown County, Wisconsin",5645
1400000US55009020203,55009020203,"Census Tract 202.03, Brown County, Wisconsin",6367
1400000US55009020204,55009020204,"Census Tract 202.04, Brown County, Wisconsin",4979
1400000US55009020502,55009020502,"Census Tract 205.02, Brown County, Wisconsin",5306
1400000US55009020503,55009020503,"Census Tract 205.03, Brown County, Wisconsin",7705
1400000US55009020504,55009020504,"Census Tract 205.04, Brown County, Wisconsin",4388
1400000US55009020600,55009020600,"Census Tract 206, Brown County, Wisconsin",5172
1400000US55009020702,55009020702,"Census Tract 207.02, Brown County, Wisconsin",5884
1400000US55009020703,55009020703,"Census Tract 207.03, Brown County, Wisconsin",6963
1400000US55009020704,55009020704,"Census Tract 207.04, Brown County, Wisconsin",7710
1400000US55009020800,55009020800,"Census Tract 208, Brown County, Wisconsin",2230
1400000US55009020900,55009020900,"Census Tract 209, Brown County, Wisconsin",2771
1400000US55009021000,55009021000,"Census Tract 210, Brown County, Wisconsin",2731
1400000US55009021100,55009021100,"Census Tract 211, Brown County, Wisconsin",1092
1400000US55009021200,55009021200,"Census Tract 212, Brown County, Wisconsin",5151
1400000US55009021301,55009021301,"Census Tract 213.01, Brown County, Wisconsin",3305
1400000US55009021302,55009021302,"Census Tract 213.02, Brown County, Wisconsin",6183
1400000US55009021303,55009021303,"Census Tract 213.03, Brown County, Wisconsin",3955
1400000US55009021304,55009021304,"Census Tract 213.04, Brown County, Wisconsin",2117
1400000US55009021400,55009021400,"Census Tract 214, Brown County, Wisconsin",7038
1400000US55009021500,55009021500,"Census Tract 215, Brown County, Wisconsin",3118
1400000US55009021600,55009021600,"Census Tract 216, Brown County, Wisconsin",5929
1400000US55009940001,55009940001,"Census Tract 9400.01, Brown County, Wisconsin",14585
1400000US55009940002,55009940002,"Census Tract 9400.02, Brown County, Wisconsin",4729
1400000US55009940003,55009940003,"Census Tract 9400.03, Brown County, Wisconsin",3298
1400000US55009940004,55009940004,"Census Tract 9400.04, Brown County, Wisconsin",2669
1400000US55011960100,55011960100,"Census Tract 9601, Buffalo County, Wisconsin",2726
1400000US55011960200,55011960200,"Census Tract 9602, Buffalo County, Wisconsin",2900
1400000US55011960300,55011960300,"Census Tract 9603, Buffalo County, Wisconsin",2163
1400000US55011960400,55011960400,"Census Tract 9604, Buffalo County, Wisconsin",2518
1400000US55011960500,55011960500,"Census Tract 9605, Buffalo County, Wisconsin",3280
1400000US55013970400,55013970400,"Census Tract 9704, Burnett County, Wisconsin",3780
1400000US55013970600,55013970600,"Census Tract 9706, Burnett County, Wisconsin",1913
1400000US55013970700,55013970700,"Census Tract 9707, Burnett County, Wisconsin",2489
1400000US55013970800,55013970800,"Census Tract 9708, Burnett County, Wisconsin",2329
1400000US55013970900,55013970900,"Census Tract 9709, Burnett County, Wisconsin",3019
1400000US55013971000,55013971000,"Census Tract 9710, Burnett County, Wisconsin",1927
1400000US55015020100,55015020100,"Census Tract 201, Calumet County, Wisconsin",4634
1400000US55015020200,55015020200,"Census Tract 202, Calumet County, Wisconsin",3908
1400000US55015020303,55015020303,"Census Tract 203.03, Calumet County, Wisconsin",3878
1400000US55015020304,55015020304,"Census Tract 203.04, Calumet County, Wisconsin",3827
1400000US55015020306,55015020306,"Census Tract 203.06, Calumet County, Wisconsin",6453
1400000US55015020308,55015020308,"Census Tract 203.08, Calumet County, Wisconsin",2997
1400000US55015020400,55015020400,"Census Tract 204, Calumet County, Wisconsin",3421
1400000US55015020500,55015020500,"Census Tract 205, Calumet County, Wisconsin",5106
1400000US55015020600,55015020600,"Census Tract 206, Calumet County, Wisconsin",5053
1400000US55015020700,55015020700,"Census Tract 207, Calumet County, Wisconsin",4136
1400000US55015020800,55015020800,"Census Tract 208, Calumet County, Wisconsin",5558
1400000US55017010100,55017010100,"Census Tract 101, Chippewa County, Wisconsin",3004
1400000US55017010200,55017010200,"Census Tract 102, Chippewa County, Wisconsin",6767
1400000US55017010300,55017010300,"Census Tract 103, Chippewa County, Wisconsin",5465
1400000US55017010400,55017010400,"Census Tract 104, Chippewa County, Wisconsin",4876
1400000US55017010500,55017010500,"Census Tract 105, Chippewa County, Wisconsin",5378
1400000US55017010700,55017010700,"Census Tract 107, Chippewa County, Wisconsin",7226
